epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,297.563,1.29442,2.39936,1.50874,0.90203,0.0817,0.09285,0.05487,1.32239,1.4628,1.49127,0.000158543,0.000158543,0.000158543
2,561.04,1.08498,1.49448,1.36297,0.65384,0.08057,0.09441,0.05538,1.3605,1.35441,1.5497,0.000306742,0.000306742,0.000306742
3,807.375,1.03591,1.33617,1.33345,0.71555,0.08329,0.11243,0.0604,1.36823,1.40739,1.5628,0.000444469,0.000444469,0.000444469
4,1048.95,1.00771,1.26698,1.31223,0.60373,0.13283,0.11713,0.06804,1.30206,1.32155,1.52276,0.000428876,0.000428876,0.000428876
5,1300.23,0.95503,1.18221,1.28156,0.6599,0.138,0.12176,0.0707,1.27118,1.21779,1.47561,0.000413168,0.000413168,0.000413168
6,1555.56,0.92731,1.12783,1.26098,0.79249,0.13907,0.13433,0.08047,1.26846,1.15665,1.4744,0.00039746,0.00039746,0.00039746
7,1800.6,0.9088,1.10124,1.24561,0.77643,0.12424,0.13625,0.08197,1.23834,1.13563,1.43569,0.000381752,0.000381752,0.000381752
8,2046.47,0.889,1.07038,1.23436,0.79172,0.14545,0.14478,0.08885,1.22742,1.06432,1.44345,0.000366044,0.000366044,0.000366044
9,2291.66,0.87952,1.05323,1.22958,0.73877,0.15615,0.16633,0.10368,1.22232,1.0569,1.42557,0.000350336,0.000350336,0.000350336
10,2535.2,0.85958,1.01628,1.2136,0.808,0.15307,0.1629,0.10232,1.19135,1.03699,1.40844,0.000334628,0.000334628,0.000334628
11,2777.47,0.84656,1.00055,1.20539,0.54353,0.19447,0.18518,0.11625,1.17183,1.01329,1.38499,0.00031892,0.00031892,0.00031892
12,3011.96,0.8349,0.98416,1.19836,0.70564,0.21693,0.20159,0.12701,1.15778,0.9913,1.37296,0.000303212,0.000303212,0.000303212
13,3258.14,0.82691,0.96187,1.19209,0.67237,0.21526,0.18315,0.11027,1.15719,1.02673,1.36408,0.000287504,0.000287504,0.000287504
14,3550.41,0.81989,0.95179,1.18494,0.64666,0.23205,0.21401,0.13014,1.15461,0.96841,1.35381,0.000271796,0.000271796,0.000271796
15,3796.3,0.80813,0.93039,1.17557,0.61317,0.24763,0.21478,0.13916,1.12407,0.96052,1.34125,0.000256088,0.000256088,0.000256088
16,4037.8,0.79185,0.91092,1.16718,0.68746,0.24277,0.22824,0.14074,1.11783,0.94167,1.32763,0.00024038,0.00024038,0.00024038
17,4275.44,0.79393,0.9135,1.16795,0.64885,0.24769,0.22727,0.14022,1.10541,0.93562,1.3159,0.000224672,0.000224672,0.000224672
18,4510.1,0.78111,0.89635,1.16187,0.63266,0.2229,0.21867,0.13451,1.10161,0.93122,1.31854,0.000208964,0.000208964,0.000208964
19,4745.48,0.77329,0.88616,1.15316,0.61767,0.24139,0.22721,0.14678,1.09601,0.91206,1.30542,0.000193256,0.000193256,0.000193256
20,4981.08,0.77018,0.87255,1.15074,0.61601,0.25387,0.22647,0.14553,1.07891,0.92284,1.29629,0.000177548,0.000177548,0.000177548
21,5292.53,0.73952,0.77574,1.12075,0.69417,0.26079,0.24942,0.16108,1.06336,0.89909,1.27747,0.00016184,0.00016184,0.00016184
22,5523.86,0.7271,0.74897,1.11051,0.74616,0.24349,0.25942,0.16774,1.05756,0.88041,1.27974,0.000146132,0.000146132,0.000146132
23,5754.27,0.71594,0.73261,1.10279,0.67044,0.25104,0.25062,0.16205,1.05326,0.86607,1.27545,0.000130424,0.000130424,0.000130424
24,5986.28,0.70465,0.7111,1.09354,0.66385,0.26402,0.25429,0.16727,1.03813,0.84954,1.25748,0.000114716,0.000114716,0.000114716
25,6218.69,0.69385,0.695,1.08633,0.69773,0.25739,0.2663,0.17338,1.03458,0.83798,1.25225,9.9008e-05,9.9008e-05,9.9008e-05
26,6448.65,0.68564,0.68366,1.08259,0.69312,0.26466,0.26086,0.16566,1.02908,0.82497,1.25071,8.33e-05,8.33e-05,8.33e-05
27,6685.01,0.67635,0.66977,1.07452,0.64673,0.26681,0.2656,0.17252,1.02518,0.82701,1.24281,6.7592e-05,6.7592e-05,6.7592e-05
28,6919.14,0.67077,0.65908,1.06564,0.71195,0.24784,0.27527,0.18192,1.02503,0.81968,1.24266,5.1884e-05,5.1884e-05,5.1884e-05
29,7151.07,0.6611,0.64412,1.06307,0.59175,0.28901,0.26974,0.18,1.01865,0.81923,1.23904,3.6176e-05,3.6176e-05,3.6176e-05
30,7381.27,0.65654,0.63725,1.06065,0.59743,0.29534,0.27804,0.18176,1.01583,0.81391,1.23775,2.0468e-05,2.0468e-05,2.0468e-05
